yagoID	actorName	yagoTitle	imdbTitle	imdbActors	yagoDate	imdbDate	matchDate	matchActor	matchYear	matchBoth
id_zXNaEL3SoI_5yq_dVxlUEAgmE	Alice Babs	Musik_ombord	Musik ombord	['Alice Babs', ' Sven Lindberg', ' Lena Nyman', ' Mikael Bolin']	1958-10-23	1958-10-23	1	Yes	Yes	Yes
id_zXNaEL3SoI_5yq_wMbXZ3pV1f	Alice Babs	Magistrarna_på_sommarlov	Magistrarna på sommarlov	['Alice Babs', ' Karl-Arne Holmsten', ' Thor Modéen', ' Carl Hagman']	1942-12-25	1941-11-22	0	Yes	No	No
id_zbZ1o2HzBX_5yq_xuLUztNb6e	Alice Belaïdi	Flowers_of_Evil	Flowers of Evil	['Yôko Hikasa', ' Mariya Ise', ' Patrick Mölleken', ' Shinichiroh Ueda']	2012-02-08	2013-04-01	0	No	No	No
id_zbZ1o2HzBX_5yq_8hHbUtvNBw	Alice Belaïdi	Fonzy	Fonzy	['José Garcia', ' Audrey Fleurot', ' Lucien Jean-Baptiste', ' Gérard Hernandez']	2013-10-30	2013-10-30	1	No	Yes	No
id_zbZ1o2HzBX_5yq_rWghVIhCrr	Alice Belaïdi	French_Women	French Women	['Isabelle Adjani', ' Alice Belaïdi', ' Laetitia Casta', ' Audrey Dana']	2014-06-04	2014-06-04	1	Yes	Yes	Yes
id_zbZ1o2HzBX_5yq_ilSw2fpzCH	Alice Belaïdi	WorkinGirls	Workingirls	['Claude Perron', ' Laurence Arné', ' Vanessa David', ' Alice Belaïdi']	2012-04-19	2012-04-19	1	Yes	Yes	Yes
id_zbZ1o2HzBX_5yq_fFjUaI1wzb	Alice Belaïdi	Maestro	Maestro	['Ákos Ambrus', ' Imre Madácsi', ' Atti Pacsay']	2014-06-15	NaT	0	No	No	No
id_Xr0zykZYdy_5yq_c!WSU6GQuq	Alice Bellagamba	Un_passo_dal_cielo	Un passo dal cielo	['Enrico Ianniello', ' Gianmarco Pozzoli', ' Francesco Salvi', ' Terence Hill']	2011-04-10	2011-04-10	1	No	Yes	No
id_3CIFB!jqqP_5yq_JIrHtUieq?	Alice Brady	My_Man_Godfrey	My Man Godfrey	['William Powell', ' Carole Lombard', ' Alice Brady', ' Gail Patrick']	1936-09-06	1936-09-06	1	Yes	Yes	Yes
id_3CIFB!jqqP_5yq_0HfaVghQzJ	Alice Brady	The_Snow_Bride	The Snow Bride	"['Alice Brady', "" Maurice 'Lefty' Flynn"", ' Mario Majeroni', ' Nick Thompson']"	1923-04-29	1923-04-29	1	Yes	Yes	Yes
id_3CIFB!jqqP_5yq_z2CjzgdKoE	Alice Brady	Gold_Diggers_of_1935	Gold Diggers of 1935	['Dick Powell', ' Adolphe Menjou', ' Gloria Stuart', ' Alice Brady']	1935-03-16	1935-03-15	0	Yes	Yes	Yes
id_3CIFB!jqqP_5yq_c98zFhQ9oW	Alice Brady	Mr._Dodd_Takes_the_Air	Mr. Dodd Takes the Air	['Kenny Baker', ' Frank McHugh', ' Alice Brady', ' Gertrude Michael']	1937-08-21	1937-08-21	1	Yes	Yes	Yes
id_3CIFB!jqqP_5yq_aDanR1szPC	Alice Brady	Her_Silent_Sacrifice	Her Silent Sacrifice	['Alice Brady', ' Henry Clive', ' R. Payton Gib', ' Edmund Pardo']	1917	1917-11-01	0	Yes	Yes	Yes
id_3CIFB!jqqP_5yq_Qv5CSGi3Ae	Alice Brady	Mind_Your_Own_Business	Mind Your Own Business	['Charles Ruggles', ' Alice Brady', ' Lyle Talbot', ' Benny Baker']	1936-12-18	1936-12-18	1	Yes	Yes	Yes
id_3CIFB!jqqP_5yq_bbFrNn1gZZ	Alice Brady	The_Boss	The Boss Baby	['Alec Baldwin', ' Steve Buscemi', ' Jimmy Kimmel', ' Lisa Kudrow']	1915-05-24	2017-03-31	0	No	No	No
id_3CIFB!jqqP_5yq_ihq8cTXWzt	Alice Brady	Betsy_Ross	The Flag: A Story Inspired by the Tradition of Betsy Ross	['Francis X. Bushman', ' Enid Bennett', ' Johnnie Walker', ' Alice Calhoun']	1917-09-17	1927-10-01	0	No	No	No
id_3CIFB!jqqP_5yq_a?0SSdMk4v	Alice Brady	Should_Ladies_Behave	Should Ladies Behave	['Lionel Barrymore', ' Alice Brady', ' Conway Tearle', ' Katharine Alexander']	1933-12-01	1933-12-01	1	Yes	Yes	Yes
