id_?bjhJhGrxP_5yq_RqHbSriNwh	Aamir_Bashir	actedIn	Frozen	inDateTime	2007-##-##	tt2294629	Frozen	27 Nov 2013	2013	Kristen Bell, Idina Menzel, Jonathan Groff, Josh Gad
id_9eWhKCaiE8_5yq_9vGFpa7OTo	Aamir_Khan	actedIn	Daulat_Ki_Jung	inDateTime	1992-01-03	tt0172300	Daulat Ki Jung	N/A	1992	Aamir Khan, Juhi Chawla, Shafi Inamdar, Tiku Talsania
id_9eWhKCaiE8_5yq_xCknKNooRD	Aamir_Khan	actedIn	PK	inDateTime	2014-12-19	tt2338151	PK	19 Dec 2014	2014	Aamir Khan, Anushka Sharma, Saurabh Shukla, Sanjay Dutt
id_9eWhKCaiE8_5yq_QjO!l0?QZH	Aamir_Khan	actedIn	Dil	inDateTime	1990-06-22	tt0099429	Dil	22 Jun 1990	1990	Aamir Khan, Madhuri Dixit, Saeed Jaffrey, Deven Verma
id_9eWhKCaiE8_5yq_CsMf?ExDXy	Aamir_Khan	actedIn	Hum_Hain_Rahi_Pyar_Ke	inDateTime	1993-07-23	tt0107166	Hum Hain Rahi Pyar Ke	05 Jul 1993	1993	Aamir Khan, Juhi Chawla, Sharokh Bharucha, Kunal Khemu
id_9eWhKCaiE8_5yq_bHOJ!7MPe?	Aamir_Khan	actedIn	Ghajini	inDateTime	2008-12-25	tt1166100	Ghajini	24 Dec 2008	2008	Aamir Khan, Asin, Jiah Khan, Tinnu Anand
id_9eWhKCaiE8_5yq_cQ973qdt35	Aamir_Khan	actedIn	3_Idiots	inDateTime	2009-12-25	tt1187043	3 Idiots	25 Dec 2009	2009	Aamir Khan, Madhavan, Sharman Joshi, Kareena Kapoor
id_9eWhKCaiE8_5yq_J3ynINx3X	Aamir_Khan	actedIn	Raakh	inDateTime	1989-04-21	tt0290820	Raakh	N/A	1989	Aamir Khan, Supriya Pathak, Pankaj Kapur, Jagdeep
id_9eWhKCaiE8_5yq_yN7Yk1tjlM	Aamir_Khan	actedIn	Andaz_Apna_Apna	inDateTime	1994-11-04	tt0109117	Andaz Apna Apna	04 Nov 1994	1994	Aamir Khan, Salman Khan, Raveena Tandon, Karisma Kapoor
id_9eWhKCaiE8_5yq_EqOq9qJB9R	Aamir_Khan	actedIn	Dhobi_Ghat	inDateTime	2010-##-##	tt1433810	Dhobi Ghat	21 Jan 2011	2010	Prateik, Monica Dogra, Kriti Malhotra, Aamir Khan
id_9eWhKCaiE8_5yq_NWg!7Bq98l	Aamir_Khan	actedIn	Dhoom_3	inDateTime	2013-12-20	tt1833673	Dhoom 3	20 Dec 2013	2013	Aamir Khan, Abhishek Bachchan, Katrina Kaif, Uday Chopra
id_9eWhKCaiE8_5yq_u3vFGnqw0U	Aamir_Khan	actedIn	Jawani_Zindabad	inDateTime	1990-08-17	tt0337650	Jawani Zindabad	N/A	1990	Aamir Khan, Farha Naaz, Javed Jaffrey, Rohini
id_9eWhKCaiE8_5yq_hkK6fmP90F	Aamir_Khan	actedIn	Love_Love_Love	inDateTime	1989-08-04	tt0097784	Love Love Love	N/A	1989	Aamir Khan, Juhi Chawla, Gulshan Grover, Dalip Tahil
id_9eWhKCaiE8_5yq_x?NuAdfL?U	Aamir_Khan	actedIn	Jo_Jeeta_Wohi_Sikandar	inDateTime	1992-05-22	tt0104561	Jo Jeeta Wohi Sikandar	22 May 1992	1992	Aamir Khan, Ayesha Jhulka, Deepak Tijori, Pooja Bedi
id_9eWhKCaiE8_5yq_bJY6G!ng8W	Aamir_Khan	actedIn	Qayamat_Se_Qayamat_Tak	inDateTime	1988-04-29	tt0095936	Qayamat Se Qayamat Tak	01 Mar 1988	1988	Aamir Khan, Juhi Chawla, Goga Kapoor, Dalip Tahil
id_9eWhKCaiE8_5yq_NHoeyili4d	Aamir_Khan	actedIn	Lagaan	inDateTime	2001-06-15	tt0169102	Lagaan: Once Upon a Time in India	08 May 2002	2001	Aamir Khan, Gracy Singh, Rachel Shelley, Paul Blackthorne
id_9eWhKCaiE8_5yq_gfrpRTia3v	Aamir_Khan	actedIn	Isi_Ka_Naam_Zindagi	inDateTime	1992-08-28	tt0304204	Isi Ka Naam Zindagi	N/A	1992	Aamir Khan, Farha Naaz, Asrani, Beena Banerjee
id_9eWhKCaiE8_5yq_RdwBjwXxag	Aamir_Khan	actedIn	Holi	inDateTime	1984-08-15	tt0087417	Holi	08 Apr 1985	1985	Ashutosh Gowariker, Aamir Khan, Rahul Ranade, Sanjeev Gandhi
id_9eWhKCaiE8_5yq_d5iRan2QKk	Aamir_Khan	actedIn	Tum_Mere_Ho	inDateTime	1990-05-25	tt0173369	Tum Mere Ho	25 May 1990	1990	Aamir Khan, Juhi Chawla, Ajit Vachani, Sudhir Pandey
id_9eWhKCaiE8_5yq_?9Foo0csxo	Aamir_Khan	actedIn	Deewana_Mujh_Sa_Nahin	inDateTime	1990-07-20	tt0101742	Deewana Mujh Sa Nahin	20 Jul 1990	1990	Aamir Khan, Madhuri Dixit, Kushboo, Jainendra
id_9eWhKCaiE8_5yq_0tVq7iwxrE	Aamir_Khan	actedIn	Earth	inDateTime	1999-09-10	tt0393597	Earth	22 Apr 2009	2007	Anggun, James Earl Jones, Patrick Stewart, Ulrich Tukur
id_9eWhKCaiE8_5yq_Wdcf2gWuGm	Aamir_Khan	actedIn	Mann	inDateTime	1999-07-09	tt0206921	Mann	22 Jun 1999	1999	Aamir Khan, Manisha Koirala, Sharmila Tagore, Dipti Bhatnagar
id_9eWhKCaiE8_5yq_155yUlao6L	Aamir_Khan	actedIn	Afsana_Pyar_Ka	inDateTime	1991-04-26	tt0327403	Afsana Pyar Ka	18 Apr 1991	1991	Aamir Khan, Neelam Kothari, Deepak Tijori, Neeta Puri
id_9eWhKCaiE8_5yq_hRhxkn84Oh	Aamir_Khan	actedIn	Ishq	inDateTime	1997-11-28	tt0133024	Ishq	28 Nov 1997	1997	Aamir Khan, Ajay Devgn, Juhi Chawla, Kajol
id_9eWhKCaiE8_5yq_YA!ShtGoaT	Aamir_Khan	actedIn	Awwal_Number	inDateTime	1990-05-11	tt0154183	Awwal Number	N/A	1990	Dev Anand, Aamir Khan, Ekta Sohini, Aditya Pancholi
id_9eWhKCaiE8_5yq_6tpB0xGaee	Aamir_Khan	actedIn	Ghulam	inDateTime	1998-##-##	tt0190419	Ghulam	19 Jun 1998	1998	Aamir Khan, Rani Mukerji, Rajit Kapoor, Mita Vasisht
id_9eWhKCaiE8_5yq_VhBYJZ8ucb	Aamir_Khan	actedIn	Rangeela	inDateTime	1995-09-08	tt0114234	Rangeela	08 Sep 1995	1995	Urmila Matondkar, Aamir Khan, Jackie Shroff, Gulshan Grover
id_9eWhKCaiE8_5yq_szUbTdml7!	Aamir_Khan	actedIn	Raja_Hindustani	inDateTime	1996-11-15	tt0117437	Raja Hindustani	08 Nov 1996	1996	Aamir Khan, Karisma Kapoor, Suresh Oberoi, Johnny Lever
id_9eWhKCaiE8_5yq_Qqm4cR4aBZ	Aamir_Khan	actedIn	Mela	inDateTime	2000-01-07	tt0232079	Mela	07 Jan 2000	2000	Aamir Khan, Twinkle Khanna, Faisal Khan, Johnny Lever
id_9eWhKCaiE8_5yq_b0G73kf?P2	Aamir_Khan	actedIn	Baazi	inDateTime	1995-04-14	tt0121989	Baazi	05 Apr 1995	1995	Aamir Khan, Mamta Kulkarni, Paresh Rawal, Abhimanyyu Abhimanyu
id_9eWhKCaiE8_5yq_1OZWAnZ!CG	Aamir_Khan	actedIn	Parampara	inDateTime	1992-05-14	tt0107777	Parampara	14 May 1993	1993	Sunil Dutt, Vinod Khanna, Aamir Khan, Ashwini Bhave
id_9eWhKCaiE8_5yq_Xi3NMKPea3	Aamir_Khan	actedIn	Secret_Superstar	inDateTime	2017-##-##	tt6108090	Secret Superstar	18 Oct 2017	2017	Zaira Wasim, Meher Vij, Raj Arjun, Tirth Sharma
id_9eWhKCaiE8_5yq_dn1m8q4CbF	Aamir_Khan	actedIn	Dangal	inDateTime	2016-12-21	tt5074352	Dangal	21 Dec 2016	2016	Aamir Khan, Fatima Sana Shaikh, Sanya Malhotra, Sakshi Tanwar
id_9eWhKCaiE8_5yq_clrmPWY7bd	Aamir_Khan	actedIn	Sarfarosh	inDateTime	1999-04-30	tt0200087	Sarfarosh	30 Apr 1999	1999	Naseeruddin Shah, Aamir Khan, Sonali Bendre, Mukesh Rishi
id_9eWhKCaiE8_5yq_fbMg2wGrVf	Aamir_Khan	actedIn	Rang_De_Basanti	inDateTime	2006-01-26	tt0405508	Rang De Basanti	26 Jan 2006	2006	Aamir Khan, Siddharth, Sharman Joshi, Kunal Kapoor
id_9eWhKCaiE8_5yq_vSsVBS?MHX	Aamir_Khan	actedIn	Dil_Chahta_Hai	inDateTime	2001-08-10	tt0292490	Dil Chahta Hai	10 Aug 2001	2001	Aamir Khan, Saif Ali Khan, Akshaye Khanna, Preity Zinta
id_9eWhKCaiE8_5yq_WPU!oaNX0J	Aamir_Khan	actedIn	Akele_Hum_Akele_Tum	inDateTime	1995-11-30	tt0112313	Akele Hum Akele Tum	30 Nov 1995	1995	Aamir Khan, Manisha Koirala, Master Adil, Deven Verma
id_djZbKM9!o?_5yq_hUGG7NxzQg	Aamir_Tameem	actedIn	Prayanam	inDateTime	2009-05-29	tt1473105	Prayanam	29 May 2009	2009	Brahmanandam, Daneil, Payal Ghosh, Harika
id_djZbKM9!o?_5yq_!ioNbKiyzj	Aamir_Tameem	actedIn	Katha	inDateTime	2009-12-12	tt0085776	Katha	N/A	1983	Naseeruddin Shah, Farooq Shaikh, Deepti Naval, Jalal Agha
id_F9bpjalx!F_5yq_uCYEWWIze6	Aamna_Sharif	actedIn	Shakal_Pe_Mat_Ja	inDateTime	2011-11-18	tt2109200	Shakal Pe Mat Ja	18 Nov 2011	2011	Shubh, Pratik Katare, Harsh Parekh, Chitrak Bandyopadhyay
id_F9bpjalx!F_5yq_KIYPRhseTu	Aamna_Sharif	actedIn	Aao_Wish_Karein	inDateTime	2009-11-13	tt1538210	Aao Wish Karein	13 Nov 2009	2009	Aftab Shivdasani, Aamna Sharif, Rati Agnihotri, Tiku Talsania
id_F9bpjalx!F_5yq_OeUmHYlaMN	Aamna_Sharif	actedIn	Aloo_Chaat	inDateTime	2009-03-20	tt1305840	Aloo Chaat	20 Mar 2009	2009	Aftab Shivdasani, Aamna Sharif, Linda Arsenio, Sanjay Mishra
