id_pLcDvj7xIk_5yq_HZx1uwIYh9	Alfred_Marks	actedIn	A_Weekend_with_Lulu	validOnDate	1961-04-10	tt0056683	A Weekend with Lulu	10 Apr 1961	1961	Bob Monkhouse, Leslie Phillips, Alfred Marks, Shirley Eaton
id_pLcDvj7xIk_5yq_?s9XJwBj9h	Alfred_Marks	actedIn	Our_Miss_Fred	validOnDate	1972-12-14	tt0069054	Our Miss Fred	14 Dec 1972	1972	Danny La Rue, Alfred Marks, Lance Percival, Lally Bowers
id_pLcDvj7xIk_5yq_3qh9KwBmAA	Alfred_Marks	actedIn	Desert_Mice	validOnDate	1959-##-##	tt0052728	Desert Mice	01 Dec 1959	1959	Alfred Marks, Sidney James, Dora Bryan, Dick Bentley
id_pLcDvj7xIk_5yq_7cNNYjXRig	Alfred_Marks	actedIn	There_Was_a_Crooked_Man	validOnDate	1960-##-##	tt0066448	There Was a Crooked Man...	19 Sep 1970	1970	Kirk Douglas, Henry Fonda, Hume Cronyn, Warren Oates
id_BZB!m1LUW!_5yq_vm43dDjHHq	Alfred_Maurstad	actedIn	Trysil-Knut	validOnDate	1942-##-##	tt0035475	Trysil-Knut	30 Apr 1942	1942	Alfred Maurstad, Eva Sletto, Karl Holter, Lars Tvinde
id_BZB!m1LUW!_5yq_HulOP?bO9o	Alfred_Maurstad	actedIn	Tørres_Snørtevold	validOnDate	1940-##-##	tt0033198	Tørres Snørtevold	26 Dec 1940	1940	Alfred Maurstad, Folkman Schaanning, Wenche Foss, Erna Schøyen
id_F6Laugj4Sp_5yq_yRDPMMPn?g	Alfred_Molina	actedIn	Whiskey_Tango_Foxtrot	validOnDate	2016-03-04	tt3553442	Whiskey Tango Foxtrot	04 Mar 2016	2016	Tina Fey, Margot Robbie, Martin Freeman, Alfred Molina
id_F6Laugj4Sp_5yq_wFJK!iedC6	Alfred_Molina	actedIn	Idle_Roomers	validOnDate	1931-11-29	tt0036948	Idle Roomers	15 Jul 1944	1943	Curly Howard, Larry Fine, Moe Howard, Duke York
id_F6Laugj4Sp_5yq_YzK9QbQy6W	Alfred_Molina	actedIn	Hideaway	validOnDate	1995-03-03	tt0113303	Hideaway	03 Mar 1995	1995	Jeff Goldblum, Christine Lahti, Alicia Silverstone, Jeremy Sisto
id_F6Laugj4Sp_5yq_XAeJXuXnLt	Alfred_Molina	actedIn	Strange_Magic	validOnDate	2015-01-23	tt4191054	Strange Magic	23 Jan 2015	2015	Alan Cumming, Evan Rachel Wood, Elijah Kelley, Meredith Anne Bull
id_F6Laugj4Sp_5yq_j9BwNzs3eF	Alfred_Molina	actedIn	The_Sorcerer's_Apprentice	validOnDate	2010-07-08	tt0963966	The Sorcerer's Apprentice	14 Jul 2010	2010	Nicolas Cage, Jay Baruchel, Alfred Molina, Teresa Palmer
id_F6Laugj4Sp_5yq_ZKnguD0czg	Alfred_Molina	actedIn	Abduction	validOnDate	2011-08-23	tt1600195	Abduction	23 Sep 2011	2011	Jake Andolina, Oriah Acima Andrews, Ken Arnold, Maria Bello
